_id,SchoolYear,HBR,HBRQF,ValidReviews,EpiUnderweight,LCIEpiUnderweight,UCIEpiUnderweight,EpiHealthyWeight,LCIEpiHealthyWeight,UCIEpiHealthyWeight,EpiOverweight,LCIEpiOverweight,UCIEpiOverweight,EpiObese,LCIEpiObese,UCIEpiObese,EpiOverweightAndObese,LCIEpiOverweightAndObese,UCIEpiOverweightAndObese
182,2005/06,S08000029, ,3578,0.00642817216321968,0.00589781237678621,0.00695853194965314,0.711291224147569,0.708283895297466,0.714298552997672,0.150642817216322,0.148269003695661,0.153016630736983,0.13163778647289,0.129394070153682,0.133881502792097,0.282280603689212,0.279293536007244,0.285267671371179
183,2006/07,S08000029, ,3282,0.00639853747714808,0.00535060460115299,0.00744647035314317,0.738878732480195,0.73310582362144,0.74465164133895,0.134673979280926,0.13018736511452,0.139160593447333,0.120048750761731,0.115777106047207,0.124320395476255,0.254722730042657,0.248996355060646,0.260449105024668
184,2007/08,S08000029, ,3551,0.00478738383553928,0.00450695897898072,0.00506780869209785,0.754153759504365,0.752404431771271,0.755903087237459,0.136862855533653,0.135466512421197,0.138259198646108,0.104196001126443,0.102954801975836,0.105437200277051,0.241058856660096,0.239321155703382,0.242796557616809
185,2008/09,S08000029, ,3147,0.00571973307912297,0.00466598331288831,0.00677348284535764,0.774070543374643,0.76822705883281,0.779914027916475,0.130918334922148,0.126205027898509,0.135631641945787,0.0892913886240864,0.0853067429372841,0.0932760343108888,0.220209723546235,0.214419406370869,0.2260000407216
186,2009/10,S08000029, ,3700,0.00756756756756757,0.00700582938454175,0.00812930575059338,0.76027027027027,0.757503008335045,0.763037532205496,0.128648648648649,0.126478424527551,0.130818872769747,0.103513513513514,0.101538929048083,0.105488097978944,0.232162162162162,0.229425407969954,0.234898916354371
187,2010/11,S08000029, ,3725,0.00939597315436242,0.00866896294365756,0.0101229833650673,0.761879194630873,0.758669517774777,0.765088871486968,0.122953020134228,0.120478445188841,0.125427595079616,0.105771812080537,0.103454264109031,0.108089360052043,0.228724832214765,0.22555977973393,0.2318898846956
188,2011/12,S08000029, ,3952,0.0106275303643725,0.0102116780291248,0.0110433826996201,0.776315789473684,0.774625815832554,0.778005763114814,0.11336032388664,0.112074601586733,0.114646046186546,0.0996963562753036,0.0984813536858252,0.100911358864782,0.213056680161943,0.211396090380998,0.214717269942889
189,2012/13,S08000029, ,3999,0.00925231307826957,0,0,0.772693173293323,0,0,0.125531382845711,0,0,0.0925231307826957,0,0,0.218054513628407,0,0
190,2013/14,S08000029, ,4047,0.0108722510501606,0.0102058830617283,0.0115386190385929,0.755374351371386,0.752612118372448,0.758136584370325,0.127748949839387,0.125603948257378,0.129893951421396,0.106004447739066,0.104026303662359,0.107982591815773,0.233753397578453,0.231033882670411,0.236472912486495
191,2014/15,S08000029, ,4057,0.00813408922849396,0.00753207414598658,0.00873610431100134,0.756963273354696,0.754088525347001,0.759838021362391,0.128666502341632,0.126422354953486,0.130910649729778,0.106236135075179,0.104170878797558,0.1083013913528,0.23490263741681,0.232061261320239,0.237744013513382
192,2015/16,S08000029, ,4043,0.00791491466732624,0.00725567713174516,0.00857415220290733,0.771951521147663,0.768830095806141,0.775072946489184,0.122186495176849,0.119750047545357,0.124622942808341,0.0979470690081623,0.0957357261572429,0.100158411859082,0.220133564185011,0.217051103147878,0.223216025222144
193,2016/17,S08000029, ,3833,0.0106965823115053,0.00956705784355782,0.0118261067794529,0.75945734411688,0.754764284040808,0.764150404192952,0.123402034959562,0.119790683474015,0.127013386445108,0.106444038612053,0.103057703607914,0.109830373616193,0.229846073571615,0.225226353280944,0.234465793862286
194,2017/18,S08000029, ,3609,0.00831255195344971,0.00739925141861239,0.00922585248828703,0.765031864782488,0.760767018673586,0.76929671089139,0.123302853976171,0.119995577679204,0.126610130273138,0.103352729287891,0.100290547933163,0.10641491064262,0.226655583264062,0.222444160837463,0.230867005690661
